"What happens when we die?","Biologically, death occurs when the heart stops, breathing ceases, and brain activity ends. Cells begin dying within minutes without oxygen. Different beliefs exist about what happens to consciousness. Many religions teach an afterlife - heaven, hell, reincarnation, or spiritual continuation. Some believe consciousness simply ends with brain death. Near-death experiences report similar features (tunnels, light, life review) possibly due to oxygen deprivation effects on the brain. Science can't definitively answer what happens to consciousness because it's beyond empirical testing. What's certain: our bodies return to nature's cycles, our impact on others continues, and how we live matters regardless of what comes after. Different beliefs about death profoundly influence how people live."|Big Ideas|Advanced|Primary
"Why do people die?","Death is universal for complex organisms due to biological constraints. Our bodies accumulate damage - DNA mutations, protein misfolding, cellular waste. Repair mechanisms can't keep up indefinitely. Evolution didn't strongly select for immortality because organisms typically die from predation, disease, or accidents before aging kills them, and resources spent on indefinite maintenance could instead go to reproduction. Some organisms (certain jellyfish, hydras) potentially don't age, but they're simple. Complex organisms face trade-offs between growth, reproduction, and maintenance. Death also serves evolutionary purposes - it prevents outdated genomes from competing with adapted descendants and forces resource turnover. While medical advances extend lifespan, the maximum (around 120 years) hasn't changed much. Research into aging mechanisms offers hope for healthier, possibly longer lives."|Big Ideas|Advanced|Primary
"What is consciousness?","Consciousness is subjective awareness - the experience of being you, feeling sensations, having thoughts. It's science's 'hard problem' because we can study brain activity but can't directly access others' experiences. We know consciousness correlates with brain activity - specific regions activate during different experiences, anesthetics eliminate it, and brain damage alters it. But how physical processes create subjective experience remains mysterious. Theories range from consciousness emerging from complex information processing to it being a fundamental property like mass. Some argue it's an illusion; others that it's the only thing we know for certain. The question touches philosophy, neuroscience, physics, and ethics (which beings deserve moral consideration?). Understanding consciousness might be limited by consciousness itself trying to understand itself."|Big Ideas|Advanced|Primary
"What is time?","Time is one of physics' deepest mysteries. We experience it as a flow from past through present to future, but physics equations work equally well backward. Einstein showed time is relative - it passes differently depending on speed and gravity (GPS satellites must account for this). Time might be emergent from more fundamental processes rather than fundamental itself. We measure time by counting regular events (Earth rotations, atomic vibrations). The second is defined as 9,192,631,770 vibrations of a cesium atom. The psychological experience of time varies with age, attention, and emotion. Some physicists argue time doesn't 'flow' - past, present, and future exist simultaneously in a 'block universe.' The arrow of time may come from entropy always increasing."|Big Ideas|Advanced|Primary
"What is a year?","A year is the time Earth takes to complete one orbit around the Sun - 365.256 days. This 'tropical year' defines seasons. The extra 0.256 days accumulate, requiring leap years (adding February 29) every four years, except century years not divisible by 400. This keeps our calendar aligned with seasons. Different calendars handle this differently - the Julian calendar (45 BCE) had only the 4-year rule, gradually drifting until the Gregorian reform (1582) added the century exception. Earth's orbit isn't perfectly circular but elliptical, and orbital characteristics change over thousands of years (Milankovitch cycles), affecting climate. Other planets have different years: Mercury's is 88 Earth days, Neptune's is 165 Earth years."|Big Ideas|Intermediate|Primary
"What is memory?","Memory is the brain's system for encoding, storing, and retrieving information. It involves physical changes in neural connections (synapses). Short-term memory holds about 7 items for 20-30 seconds in the prefrontal cortex. Long-term memory involves the hippocampus consolidating information to the cortex through repeated activation, strengthening synaptic connections. Different types exist: procedural (how to ride a bike), semantic (facts), episodic (personal experiences). Memories aren't perfect recordings but reconstructions influenced by current knowledge and emotions. Each recall can modify memories. Sleep, especially REM sleep, consolidates memories. Emotion enhances memory formation through amygdala involvement. Memory declines with age as hippocampus shrinks and neural plasticity decreases. Exercise and learning promote new neuron growth, improving memory."|Big Ideas|Advanced|Primary
"What is a myth?","Myths are traditional stories that cultures use to explain natural phenomena, teach moral lessons, preserve history, and express deep truths about human experience. They often feature gods, heroes, and supernatural events. Unlike lies or fiction, myths serve important cultural functions: creating shared identity, transmitting values, explaining origins, and providing meaning. Greek myths explained natural phenomena and human nature; Aboriginal Dreamtime stories encode geographic and survival information; creation myths address existential questions. Myths use narrative and symbolism to convey complex ideas that literal language struggles with. They're not meant as scientific explanations but as wisdom literature. Modern societies have their own myths - national founding stories, cultural heroes, and narratives that shape identity and values."|Big Ideas|Advanced|Primary
"What is luck?","Luck describes events outside our control that significantly affect us, labeled 'good' or 'bad' based on outcomes. Mathematically, it's variance from expected probability - rolling five sixes in a row is 'lucky' because it's improbable (1 in 7,776 chance). Humans are pattern-seekers who struggle with randomness, often seeing meaning in coincidence. We notice confirming instances more than disconfirming ones (confirmation bias), creating illusions of lucky streaks or jinxes. Some people seem luckier because they create more opportunities, notice possibilities, and maintain optimism that helps them persist. Cultural beliefs about luck vary widely - feng shui, lucky numbers, rituals. While we can't control random events, we can influence our exposure to opportunities and our responses to events."|Big Ideas|Intermediate|Primary
"Why do people believe different things?","Beliefs form through complex interactions of genetics, family upbringing, culture, education, personal experiences, and cognitive biases. Children initially adopt family beliefs, then modify them through peer influence and experiences. Confirmation bias leads us to notice evidence supporting existing beliefs while dismissing contradictions. Social groups reinforce shared beliefs, creating echo chambers. Emotional experiences often influence beliefs more than logic. Cognitive dissonance makes changing beliefs psychologically uncomfortable. Different life experiences lead to different worldviews - someone who experienced poverty views economic issues differently than someone who didn't. Media, education, and social structures shape what information we encounter. Intelligence doesn't eliminate bias - smart people are often better at rationalizing beliefs. Understanding why people believe differently promotes empathy and productive dialogue."|Big Ideas|Advanced|Primary
"What is fairness?","Fairness involves treating people with equal respect and ensuring everyone has genuine opportunities to thrive. But defining it precisely is complex. Equal treatment isn't always fair - giving everyone identical shoes ignores different foot sizes. Equity considers different starting points and needs. Procedural fairness focuses on consistent rules; distributive fairness on outcomes. Different theories compete: merit-based (rewards match contribution), need-based (resources go to most needy), equality-based (everyone gets same). Cultural values influence fairness concepts. Children develop fairness intuitions early but apply them inconsistently. Fairness often conflicts with other values like freedom or efficiency. Perfect fairness is probably impossible, but striving for it improves societies. It requires understanding different perspectives and acknowledging that reasonable people can disagree about what's fair."|Big Ideas|Advanced|Primary
"What is courage?","Courage is acting despite fear when something important is at stake. It's not absence of fear - that might be ignorance or recklessness. Physical courage faces bodily harm; moral courage stands for principles despite social costs. Small acts (speaking up against bullying) can require as much courage as dramatic ones. Courage involves recognizing danger, feeling fear, judging something more important than safety, and choosing to act. It develops through practice - each courageous act makes the next easier by building confidence and revealing that feared consequences often don't materialize. Cultural values shape what's considered courageous. Whistleblowers show moral courage; entrepreneurs show financial courage; artists show creative courage. Courage is contagious - witnessing it inspires others."|Big Ideas|Intermediate|Primary
"What is art?","Art is human expression that transcends pure functionality to communicate ideas, emotions, or experiences through various media. It includes visual arts, music, literature, dance, theater, film, and more. Art serves multiple purposes: personal expression, social commentary, cultural preservation, aesthetic pleasure, emotional catharsis, and challenging perspectives. What qualifies as art is debated - technical skill, originality, emotional impact, and cultural context all matter. Art movements reflect their times: Renaissance art celebrated humanism; Impressionism captured light and moment; Abstract Expressionism explored pure form and emotion. Art can be universal (evoking common human experiences) or culturally specific. It often works through metaphor and symbolism rather than literal representation. Digital technology is expanding art's boundaries. Ultimately, art enriches human experience by helping us see, feel, and think in new ways."|Big Ideas|Advanced|Primary
"What is love?","Love is a complex emotional and behavioral phenomenon involving attachment, care, and commitment. Psychologists identify different types: romantic love (passion + intimacy + commitment), familial love (deep bonds from shared history/genetics), platonic love (friendship), and self-love. Neurologically, love activates reward circuits, releasing dopamine, oxytocin, and vasopressin. Early romantic love resembles addiction - obsessive thoughts, emotional dependency, withdrawal when separated. Attachment theory suggests love patterns form in early childhood based on caregiver relationships. Love evolved to promote pair bonding for child-rearing, social cooperation, and group survival. It's expressed differently across cultures but appears universal. Lasting love requires ongoing choice and action - maintaining connection through challenges. It involves accepting imperfection, supporting growth, and balancing individual needs with partnership. Love profoundly affects physical and mental health."|Big Ideas|Advanced|Primary
"What is happiness?","Happiness encompasses momentary pleasure (hedonic happiness) and deeper life satisfaction (eudaimonic happiness). Brain imaging shows happiness activates reward circuits, releasing dopamine, serotonin, and endorphins. Research identifies key factors: strong relationships matter most, basic needs must be met but wealth beyond that has diminishing returns, sense of purpose and autonomy increase satisfaction, and gratitude practices boost happiness. The 'hedonic treadmill' means we adapt to positive changes, returning to baseline happiness despite life improvements. Genetics influence about 50% of happiness levels, circumstances 10%, and intentional activities 40%. Different cultures emphasize individual versus collective happiness. Pursuing happiness directly often fails (paradox of hedonism); it emerges from meaningful activities and connections. Happiness isn't constant positivity but includes accepting difficult emotions as part of full human experience."|Big Ideas|Advanced|Primary
"What is the meaning of life?","The question of life's meaning has engaged philosophers, theologians, and thinkers throughout history. Religious traditions offer various answers: serving God, achieving enlightenment, or preparing for afterlife. Secular philosophies propose alternatives: existentialism says we create our own meaning, humanism emphasizes human flourishing and reducing suffering, nihilism argues life has no inherent meaning (though we can still create subjective meaning). Evolutionary biology suggests life's 'purpose' is gene propagation, but this describes function, not meaning. Many find meaning through relationships, creative expression, knowledge pursuit, helping others, or experiencing beauty. Viktor Frankl argued a meaning comes from how we respond to life's circumstances. The question might be unanswerable objectively - meaning may be necessarily subjective, created rather than discovered. Perhaps the search for meaning is itself what gives life meaning."|Big Ideas|Advanced|Primary
